name,twitter,domain,type,FirstName,LastName
anderson cooper,andersoncooper,andersoncooper.com,celebrity,anderson,cooper
mario teguh,MTLovenHoney,Facebook.MarioTeguh.asia,celebrity,mario,teguh
fabio porchat,FabioPorchat,fabioporchat.com.br,celebrity,fabio,porchat
farhan akhtar,FarOutAkhtar,excelmovies.com,celebrity,farhan,akhtar
jennette mccurdy,jennettemccurdy,,celebrity,jennette,mccurdy
gusttavo lima,gusttavo_lima,gusttavolima.com.br,celebrity,gusttavo,lima
bella thorne,bellathorne,imdb.com,celebrity,bella,thorne
pitty ,pittyleone,pitty.com.br,celebrity,pitty,
holly willoughby,hollywills,officialhollywilloughby.com,celebrity,holly,willoughby
juan luis guerra,JuanLuisGuerra,vevo.ly,celebrity,juan,luis
t.i.,Tip,grandhustlegang.com,celebrity,t.i.,
perez hilton,PerezHilton,PerezHilton.com,celebrity,perez,hilton
dwight howard,DwightHoward,dwighthoward.com,celebrity,dwight,howard
chayanne,CHAYANNEMUSIC,chayanne.com,celebrity,chayanne,
ricardo arjona Œ¬,Ricardo_Arjona,ricardoarjona.com,celebrity,ricardo,arjona
shaandaar alia,aliaa08,,celebrity,shaandaar,alia
jose marie viceral,vicegandako,,celebrity,jose,marie
zendaya,Zendaya,crowdrise.com,celebrity,zendaya,
dulce maria,DulceMaria,dulcemaria.com.mx,celebrity,dulce,maria
cearíç - wellington,oceara,oceara.com.br,celebrity,cearíç,-
ian somerhalder,iansomerhalder,omaze.com,celebrity,ian,somerhalder
kris jenner,KrisJenner,krisjenner.com,celebrity,kris,jenner
jimmy kimmel,jimmykimmel,youtube.com,celebrity,jimmy,kimmel
hugh jackman,RealHughJackman,,celebrity,hugh,jackman
luan santana,luansantana,luansantana.com.br,celebrity,luan,santana
iggy azalea,IGGYAZALEA,iggyazalea.com,celebrity,iggy,azalea
galilea montijo,GalileaMontijo,galileamontijo.tv,celebrity,galilea,montijo
anushka sharma,AnushkaSharma,,celebrity,anushka,sharma
robert kardashian,robkardashian,,celebrity,robert,kardashian
akon,Akon,akon.com,celebrity,akon,
jason mraz,jason_mraz,jasonmraz.com,celebrity,jason,mraz
nina dobrev,ninadobrev,ninadobrev.com,celebrity,nina,dobrev
omar chaparro,OMARCHAPARRO,omarchaparro.com.mx,celebrity,omar,chaparro
